city,population,avg_temp_c,founded
Tokyo,13960000,15.4,1457
Berlin,3645000,9.8,1237
Sao Paulo,12330000,19.2,1554
Cairo,9540000,21.7,969
Nairobi,4400000,18.9,1899
Helsinki,656000,5.8,1550
Mexico City,9210000,16.6,1521
Singapore,5454000,26.8,1819
Reykjavik,131000,4.5,874
Lima,9750000,19.7,1535
Vienna,1920000,11.4,1147
Hanoi,8053000,24.0,1010
Mumbai,12442000,27.4,1507
Toronto,2930000,9.0,1834
Auckland,1717000,15.7,1840
Lagos,15000000,27.3,1472
Buenos Aires,3075000,17.6,1536
Seoul,9776000,12.9,1394
Bangkok,10539000,28.8,1782
Stockholm,975000,6.6,1252
