Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Snowboard binding mount (product.metafields.test_data.binding_mount),Snowboard length (product.metafields.test_data.snowboard_length),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Switzerland,Price / Switzerland,Compare At Price / Switzerland,Included / International,Price / International,Compare At Price / International,Included / Mexico,Price / Mexico,Compare At Price / Mexico,Status
the-3p-fulfilled-snowboard,The 3p Fulfilled Snowboard,test body,larry test shop 111,,snowboard,"Accessory, Sport, Winter",TRUE,Title,Default Title,,,,,,,,sku-hosted-1,0,shopify,deny,manual,2629.95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0914/1977/1267/files/Main_b9e0da7f-db89-4d41-83f0-7f417b02831d.jpg?v=1741930860,1,"Top and bottom view of a snowboard. The top view shows 7 stacked hexagons and the bottom view
          shows a small, centred hexagonal logo for Hydrogen.",FALSE,,,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
the-multi-managed-snowboard,The Multi-managed Snowboard,,Multi-managed Vendor,,snowboard,"Premium, Snow, Snowboard, Sport, Winter",TRUE,Title,Default Title,,,,,,,,sku-managed-1,0,shopify,deny,manual,629.95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0914/1977/1267/files/Main_9129b69a-0c7b-4f66-b6cf-c4222f18028a.jpg?v=1741930860,1,"Top and bottom view of a snowboard. The top view shows an illustration with varied outlined shapes
        in black. The bottom view shows a black box character with an H pointing, and surrounded by black outlined
        illustrative elements.",FALSE,,,,,,,,,,,,,,,159.0cm,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
the-collection-snowboard-liquid,The Collection Snowboard: Liquid,,Hydrogen Vendor,,snowboard,"Accessory, Sport, Winter",TRUE,Title,Default Title,,,,,,,,,0,shopify,deny,manual,749.95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0914/1977/1267/files/Main_b13ad453-477c-4ed1-9b43-81f3345adfd6.jpg?v=1741930860,1,"Top and bottom view of a snowboard. The top view shows a stylized scene of water, trees, mountains,
        sky and a moon in blue colours. The bottom view has a blue liquid, drippy background with the text “liquid” in
        a stylized script typeface.",FALSE,,,,,,,,,,,,,,Optimistic,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
the-multi-location-snowboard,The Multi-location Snowboard,,larry test shop 111,,snowboard,"Premium, Snow, Snowboard, Sport, Winter",TRUE,Title,Default Title,,,,,,,,,0,shopify,deny,manual,729.95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0914/1977/1267/files/Main_0a4e9096-021a-4c1e-8750-24b233166a12.jpg?v=1741930859,1,"Top and bottom view of a snowboard. The top view shows a pixelated Shopify bag logo and a
        pixelated character reviewing a clipboard with a questioning expression with a bright green-blue background.
        The bottom view is a pattern of many pixel characters with a bright green-blue background.",FALSE,,,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
the-collection-snowboard-oxygen,The Collection Snowboard: Oxygen,,Hydrogen Vendor,,snowboard,"Accessory, Sport, Winter",TRUE,Title,Default Title,,,,,,,,,0,shopify,deny,manual,1025,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0914/1977/1267/files/Main_d624f226-0a89-4fe1-b333-0d1548b43c06.jpg?v=1741930859,1,"Top and bottom view of a snowboard. The top view shows a stylized scene of trees, mountains, sky and
        a sun in red colours. The bottom view has blue wavy lines in the background with the text “Oxygen” in a
        stylized script typeface.",FALSE,,,,,,,,,,,,,,Optimistic,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
the-out-of-stock-snowboard,The Out of Stock Snowboard,,larry test shop 111,,snowboard,"Accessory, Sport, Winter",TRUE,Title,Default Title,,,,,,,,,0,shopify,deny,manual,885.95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0914/1977/1267/files/Main_f44a9605-cd62-464d-b095-d45cdaa0d0d7.jpg?v=1741930859,1,"Top and bottom view of a snowboard. The top view shows a toggle at the top in shades of blue and
        yellow. The bottom view shows an abstract illustration of toggles in blues and yellows.",FALSE,,,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
the-videographer-snowboard,The Videographer Snowboard,,larry test shop 111,,snowboard,,TRUE,Title,Default Title,,,,,,,,,0,shopify,deny,manual,885.95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0914/1977/1267/files/Main.jpg?v=1741930859,1,"The top and bottom view of a snowboard. The top has view is turquoise and black with graphics of
        trees. The bottom view is turquoise with the word hydrogen written in cursive.",FALSE,,,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
the-archived-snowboard,The Archived Snowboard,,Snowboard Vendor,,snowboard,"Archived, Premium, Snow, Snowboard, Sport, Winter",FALSE,Title,Default Title,,,,,,,,,0,shopify,deny,manual,629.95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0914/1977/1267/files/Main_52f8e304-92d9-4a36-82af-50df8fe31c69.jpg?v=1741930859,1,"The top and bottom view of a snowboard.The top view is a gradient light purple and dark purple
        with a cube geometric pattern. The bottom view blue with light blue octagon geometric pattern.",FALSE,,,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,archived
the-hidden-snowboard,The Hidden Snowboard,,Snowboard Vendor,,snowboard,"Premium, Snow, Snowboard, Sport, Winter",FALSE,Title,Default Title,,,,,,,,,0,shopify,deny,manual,749.95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0914/1977/1267/files/Main_c8ff0b5d-c712-429a-be00-b29bd55cbc9d.jpg?v=1741930859,1,"The top view and bottom view of a snowboard. The top view is black with a singular peach cube.
        The bottom view has a graphic of a stack of blocks in a gradient from light blue, to pink to peach.",FALSE,Hidden Snowboard,hidden snowboard winter sport snowboarding,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
the-complete-snowboard,The Complete Snowboard,This <b>PREMIUM</b> <i>snowboard</i> is so <b>SUPER</b><i>DUPER</i> awesome!,Snowboard Vendor,,snowboard,"Premium, Snow, Snowboard, Sport, Winter",TRUE,Color,Ice,,,,,,,,,4535.9237,shopify,deny,manual,699.95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0914/1977/1267/files/Main_589fc064-24a2-4236-9eaf-13b2bd35d21d.jpg?v=1741930860,1,"Top and bottom view of a snowboard. The top view shows abstract circles and lines in shades of
          teal. The bottom view shows abstract circles and lines in shades of purple and blue with the text “SHOPIFY”
          in a sans serif typeface on top.",FALSE,Complete Snowboard,snowboard winter sport snowboarding,,,,,,,,,,,,,159.0cm,,lb,,,TRUE,,,TRUE,,,TRUE,,,active
the-complete-snowboard,,,,,,,,,Dawn,,,,,,,,,4535.9237,shopify,deny,manual,699.95,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,,,,
the-complete-snowboard,,,,,,,,,Powder,,,,,,,,,4535.9237,shopify,deny,manual,699.95,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,,,,
the-complete-snowboard,,,,,,,,,Electric,,,,,,,,,4535.9237,shopify,deny,manual,699.95,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,,,,
the-complete-snowboard,,,,,,,,,Sunset,,,,,,,,,4535.9237,shopify,deny,manual,699.95,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,,,,
